id,num_rooms,num_baths,square_meters,orientation,year_built,door,is_furnished,has_pool,neighborhood,num_crimes,has_ac,accepts_pets,num_supermarkets,price
9255,1.0,1.0,,,1956.0,3º - 1a,False,False,Sant Martí,2.0,True,True,,1096
1562,4.0,1.0,133.0,west,1960.0,7º - 2a,False,False,Sants,4.0,False,False,2.0,1396
1671,2.0,3.0,137.0,,2000.0,1º - 1a,False,True,Eixample,0.0,False,False,,1263
6088,1.0,2.0,-41.0,,2002.0,6º - 1a,False,True,Sants,5.0,False,False,,1290
6670,2.0,1.0,70.0,,1979.0,5º - 1a,True,False,Gràcia,0.0,False,True,3.0,962
5934,4.0,2.0,77.0,west,1987.0,1º - 1a,True,True,Eixample,0.0,False,False,3.0,760
8830,4.0,2.0,170.0,east,1992.0,10º - 2a,False,False,Eixample,1.0,,True,,1405
7946,3.0,2.0,117.0,north,2006.0,3º - 2a,False,True,,0.0,False,True,,1201
3509,1.0,1.0,59.0,south,1969.0,5º - 1a,True,False,Gràcia,0.0,False,False,,933
2003,2.0,1.0,52.0,,1996.0,,True,False,Les Cors,0.0,False,False,2.0,649
5867,3.0,3.0,101.0,south,2014.0,7º - 1a,False,False,Gràcia,9.0,False,True,,1124
169,3.0,2.0,115.0,south,2018.0,2º - 1a,False,False,Sarrià-Sant Gervasi,0.0,False,True,,1005
2589,2.0,1.0,152.0,,1988.0,3º - 4a,False,False,Eixample,8.0,False,False,2.0,1264
5906,3.0,2.0,170.0,,1987.0,8º - 4a,False,True,Gràcia,8.0,True,True,,1424
9530,4.0,3.0,161.0,west,2004.0,4º - 1a,True,False,Gràcia,0.0,False,False,,1549
6385,4.0,1.0,154.0,south,1974.0,6º - 4a,True,False,Horta,7.0,False,True,,1608
7825,3.0,3.0,57.0,east,2012.0,10º - 3a,False,False,Eixample,0.0,True,False,,835
9780,2.0,3.0,134.0,,2004.0,9º - 3a,True,True,Sarrià-Sant Gervasi,0.0,False,False,,1688
4630,3.0,3.0,167.0,south,1978.0,3º - 3a,False,True,Sant Andreu,2.0,False,False,1.0,1152
8561,2.0,1.0,62.0,,1958.0,6º - 2a,True,True,Sarrià-Sant Gervasi,0.0,True,True,,1314
9292,4.0,2.0,163.0,,2004.0,5º - 2a,True,True,Sants,9.0,True,False,,916
6875,3.0,3.0,118.0,west,1951.0,7º - 1a,False,True,Horta,7.0,False,False,,1148
6522,2.0,1.0,83.0,,1955.0,5º - 4a,True,True,Gràcia,7.0,True,False,,623
8980,3.0,3.0,70.0,,2006.0,3º - 2a,True,False,Les Cors,0.0,False,True,1.0,1111
6648,2.0,3.0,160.0,east,2014.0,6º - 3a,True,True,Sants,0.0,False,True,,1206
9826,1.0,2.0,89.0,west,1985.0,9º - 2a,False,True,Sant Martí,0.0,False,True,,1143
211,3.0,1.0,,east,1950.0,5º - 4a,True,False,Gràcia,0.0,False,True,2.0,951
5279,3.0,1.0,135.0,west,2011.0,8º - 1a,False,False,Les Cors,0.0,True,False,,1335
1920,1.0,1.0,,,1999.0,1º - 2a,False,False,Horta,8.0,False,False,,1112
719,4.0,3.0,161.0,,2010.0,1º - 1a,True,False,Eixample,0.0,True,False,,1360
4869,3.0,2.0,125.0,,2018.0,4º - 4a,False,True,Ciutat Vella,0.0,False,False,,1634
7835,1.0,1.0,57.0,north,1974.0,10º - 3a,False,False,Ciutat Vella,4.0,False,True,,853
1299,1.0,1.0,60.0,south,2008.0,5º - 3a,False,False,Gràcia,2.0,False,True,3.0,681
9194,1.0,2.0,149.0,north,1976.0,6º - 2a,False,False,Eixample,0.0,True,False,,1278
4618,1.0,1.0,70.0,north,1980.0,10º - 2a,True,False,Sant Martí,4.0,True,False,,1033
3129,3.0,1.0,138.0,,1997.0,4º - 4a,False,True,Les Cors,0.0,True,True,,1198
9796,1.0,3.0,128.0,east,1969.0,4º - 2a,True,True,Horta,0.0,True,False,,1130
3980,4.0,2.0,162.0,north,1952.0,2º - 3a,False,True,,0.0,True,True,,1646
9925,3.0,2.0,77.0,south,1952.0,4º - 3a,True,False,Gràcia,0.0,False,False,,956
